"U0028","Vehicle Communication Bus A"
"P0936","Hydraulic Pressure Sensor Circuit Intermittent"
"P2526","Vacuum Reservoir Pressure Sensor Circuit Range/Performance"
"P0826","Up and Down Shift Switch Circuit"
"P0587","Cruise Control Vent Control Circuit Low"
"P0AA7","Hybrid Battery Voltage Isolation Sensor Circuit"
"P0098","Intake Air Temperature Sensor 2 Circuit High"
"U0195","Lost Communication With Subscription Entertainment Receiver Module"
"P2564","Turbocharger Boost Control Position Sensor Circuit Low"
"P0864","TCM Communication Circuit Range/Performance"
"P0723","Output Speed Sensor Circuit Intermittent"
"P4028","Battery Block 28 Overtemperature"
"P0128","Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)"
"P0601","Internal Control Module Memory Check Sum Error"
"P3024","Battery Block 14 Becomes Weak"
"P0A2D","Drive Motor 'A' Temperature Sensor Circuit High"
"P2728","Pressure Control Solenoid 'E' Control Circuit Range/Performance"
"P2533","Ignition Switch Run/Start Position Circuit"
"P2002","Particulate Trap Efficiency Below Threshold"
"P0833","Clutch Pedal Switch 'B' Circuit"
"P2637","Torque Management Feedback Signal 'A'"
"P0959","Auto Shift Manual Mode Circuit Intermittent"
"U0424","Invalid Data Received From HVAC Control Module"
"P0018","Crankshaft Position - Camshaft Position Correlation"
"P0448","Evaporative Emission System Vent Control Circuit Shorted"
"P0744","Torque Converter Clutch Circuit Intermittent"
"P2315","Ignition Coil 'F' Primary Control Circuit Low"
"P2057","Reductant Injector Circuit Low"
"P0172","System Too Rich"
"P0494","Fan Speed Low"
"P0544","Exhaust Gas Temperature Sensor Circuit"
"P0236","Turbo/Super Charger Boost Sensor 'A' Circuit Range/Performance"
"P0183","Fuel Temperature Sensor A Circuit High"
"P0068","MAP/MAF - Throttle Position Correlation"
"P0507","Idle Air Control System RPM Higher Than Expected"
"P0872","Transmission Fluid Pressure Sensor/Switch 'C' Circuit Low"
"P2555","Throttle/Fuel Inhibit Circuit High"
"U0149","Lost Communication With Gateway 'D'"
"P2188","System Too Rich at Idle"
"P0855","Drive Switch Input Circuit High"
"U0219","Lost Communication With 'Door Switch E'"
"P0414","Secondary Air Injection System Switching Valve 'A' Circuit Shorted"
"P0780","Shift Error"
"P0988","Transmission Fluid Pressure Sensor/Switch 'E' Circuit Range/Performance"
"U0176","Lost Communication With 'Restraints System Sensor G'"
"P0426","Catalyst Temperature Sensor Range/Performance"
"U0052","Vehicle Communication Bus C (Low)"
"P0580","Cruise Control Multi-Function Input 'A' Circuit Low"
"U0227","Lost Communication With 'Door Window Motor F'"
"P0259","Injection Pump Fuel Metering Control 'B' High (Cam/Rotor/Injector)"
"U0047","Vehicle Communication Bus C (Performance)"
"U0034","Vehicle Communication Bus A (Low)"
"P0238","Turbo/Super Charger Boost Sensor 'A' Circuit High"
"P0967","Pressure Control Solenoid 'B' Control Circuit High"
"P0286","Cylinder 9 Injector Circuit High"
"P0464","Fuel Level Sensor 'A' Circuit Intermittent"
"P0297","Vehicle Overspeed Condition"
"U0204","Lost Communication With 'Door Control Module F'"
"P0721","Output Speed Sensor Circuit Range/Performance"
"P0620","Generator Control Circuit"
"U0081","Reserved by J2012"
"P0433","Heated Catalyst Efficiency Below Threshold"
"P0152","O2 Sensor Circuit High Voltage"
"P0103","Mass or Volume Air Flow Circuit High Input"
"P2531","Ignition Switch Run Position Circuit Low"
"P4034","Battery Block 34 Overtemperature"
"P0831","Clutch Pedal Switch 'A' Circuit Low"
"P2644","Torque Management Feedback Signal 'B' High"
"P2752","Intermediate Shaft Speed Sensor 'C' Circuit Intermittent"
"P0147","O2 Sensor Heater Circuit"
"P0134","O2 Sensor Circuit No Activity Detected"
"U0162","Lost Communication With Navigation Display Module"
"P0990","Transmission Fluid Pressure Sensor/Switch 'E' Circuit High"
"P2438","Secondary Air Injection System Air Flow/Pressure Sensor Circuit High"
"P2747","Intermediate Shaft Speed Sensor 'B' Circuit No Signal"
"P0217","Engine Coolant Over Temperature Condition"
"P2734","Pressure Control Solenoid 'F' Electrical"
"P2108","Throttle Actuator Control Module Performance"
"P2050","Reductant Injector Circuit/Open"
"P3015","Battery Block 5 Becomes Weak"
"P0803","1-4 Upshift (Skip Shift) Solenoid Control Circuit"
"U0084","Reserved by J2012"
"P2607","Intake Air Heater 'B' Circuit Low"
"P3445","Cylinder 6 Exhaust Valve Control Circuit/Open"
"P0524","Engine Oil Pressure Too Low"
"U0415","Invalid Data Received From Anti-Lock Brake System Control Module"
"P0700","Transmission Control System (MIL Request)"
"P0908","Gate Select Position Circuit Intermittent"
"P0181","Fuel Temperature Sensor A Circuit Range/Performance"
"P0036","HO2S Heater Control Circuit"
"P2110","Throttle Actuator Control System - Forced Limited RPM"
"P0500","Vehicle Speed Sensor 'A'"
"P0472","Exhaust Pressure Sensor Low"
"P2781","Downshift Switch Circuit High"
"P0455","Evaporative Emission System Leak Detected (large leak)"
"P0910","Gate Select Actuator Circuit/Open"
"P0267","Cylinder 3 Injector Circuit Low"
"P0483","Fan Rationality Check"
"P0206","Injector Circuit/Open - Cylinder 6"
"U029A","Lost Communication with Hybrid Battery Pack Sensor module"
"P2417","O2 Sensor Signals Swapped Bank 2 Sensor 2 / Bank 2 Sensor 3"
"U0313","Software Incompatibility with Battery Energy Control Module B"
"U0019","Low Speed CAN Communication Bus"
"P0639","Throttle Actuator Control Range/Performance"
"P0342","Camshaft Position Sensor 'A' Circuit Low"
"P2160","Vehicle Speed Sensor 'B' Circuit Low"
"U0027","Low Speed CAN Communication Bus (shorted to Bus)"
"P0960","Pressure Control Solenoid 'A' Control Circuit/Open"
"P0059","HO2S Heater Resistance"
"P0353","Ignition Coil 'C' Primary/Secondary Circuit"
"P0884","TCM Power Input Signal Intermittent"
"U0158","Lost Communication With Head Up Display"
"U0135","Reserved by J2012"
"P0899","Transmission Control System MIL Request Circuit High"
